id,title,first_author,year,journal,doi,key_words,main_aim,specific_aims,time_period_period_young_kyr,time_period_period_old_kyr,time_coverage_did_the_authors_deal_with_uneven_temporal_distribution_of_the_data,time_coverage_did_the_authors_use_bins_for_dealing_with_uneven_temporal_distribution,time_coverage_did_the_authors_use_interpolation_for_dealing_with_uneven_temporal_distribution,spatial_scale,region,country,study_taxa_terrestrial_plants,study_taxa_other,number_of_modern_pollen_records,number_of_fossil_pollen_records,method_of_choosing_pollen_data_did_the_authors_have_any_specific_method_for_selecting_records,method_of_choosing_pollen_data_did_the_authors_select_records_based_on_the_amount_of_information,method_of_choosing_pollen_data_did_the_authors_select_records_based_on_their_length,method_of_choosing_pollen_data_did_the_authors_select_records_based_on_the_presence_of_specific_taxa_life_forms,source_of_pollen_data_experimental_study,source_of_pollen_data_did_the_authors_source_from_database,source_of_pollen_data_which_database,source_of_pollen_data_did_the_authors_source_from_published_study,source_of_pollen_data_did_the_authors_source_from_unpublished_private_data,pollen_nomenclature_harmonisation,pollen_counts_corrections,age_depth_recalculation,source_of_fuctional_information_plant_functional_types,source_of_functional_information_plant_traits,source_of_fuctional_information_other,source_of_traits_data_did_the_authors_source_from_database,source_of_trait_data_which_database,source_of_traits_data_did_the_authors_source_from_published_study,source_of_traits_data_did_the_authors_source_from_unpublished_private_data,gap_filling_did_the_authors_somehow_gap_fill_missing_trait_data,gap_filling_how_did_authors_gap_fill_the_missing_trait_values,traits_did_the_authors_use_plant_height,traits_did_the_authors_use_leaf_morphology,traits_did_the_authors_use_sla,traits_did_the_authors_use_la,traits_did_the_authors_use_leaf_p,traits_did_the_authors_use_leaf_n,traits_did_the_authors_use_leaf_c,traits_did_the_authors_use_ldmc,traits_did_the_authors_use_seed_traits,traits_did_the_authors_use_wood_traits,traits_others,pf_ts_based_on_which_study_authors_assign_pollen_taxa_to_pf_ts_or_any_other_classes,bayesian_modelling_for_aligning_pollen_types_with_plant_species,cwm,linking_fossil_pollen_to_plant_taxa_did_the_authors_aggregate_the_traits,linking_fossil_pollen_to_plant_taxa_did_the_authors_use_specialized_linking_table,linking_fossil_pollen_to_plant_taxa_did_the_authors_use_probabilistic_modelling,effect_of_variables_on_trait_composition_did_the_authors_test_it,effect_of_variables_on_trait_composition_did_the_authors_incorporate_effect_of_climate,effect_of_variables_on_trait_composition_did_the_authors_incorporate_effect_of_humans,statistical_method_to_fit_the_temporal_trend,results,note
11,"The age and post-glacial development of the modern
European vegetation: a plant functional approach based
on pollen data","Davis, B. A. S.",2014,Veget Hist Archaeobot,10.1007/s00334-014-0476-9,"Arboreal pollen, Biome, Holocene, Plant functional type,
 Squared chord distance","Here, we take advantage of these advances to quantitatively assess
the age of the modern vegetated landscape of Europe, to measure
change across time using the squared chord distance (SCD) metric
(Overpeck et al. 1985), and to map the relative openness of the landscape,
as well as the distribution and abundance of biomes, at 500-year intervals
throughout the Holocene (11.5 ka to modern times).",NA,0,11.5,TRUE,TRUE,TRUE,Continental,"Europe, Asia",NA,TRUE,FALSE,NA,879,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,European Pollen Database,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Peyron et al. (1998),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Thin plate spline,"Though the (PFT) assemblage became continuously more similar
to present, biome assemblages changed in northern and southern
Europe but stayed relatively constant in central Europe. Landscape
openness as approximated by arboreal PFT % increased until the
mid-Holocene and then returned to early-Holocene conditions by
modern times.",NA
12,"Functional Signatures of Surface Pollen and Vegetation Are
Broadly Similar: Good News for Past Reconstructionsof Vegetation","Dugerdil, L.",2025,Journal of Biogeography,https://doi.org/10.1111/jbi.15100,"Arid Central Asia, biomes, communities, databases,
functional biogeography, past climate, plant traits,
 pollen, trait distribution","In this present study, we compare the trait values and distributions
of surface pollen assemblages and vegetation plots to test
(1) whether relationships between traits (univariate distributions of
trait values and pairwise trait–trait relationships) are conserved
between pollen and vegetation. We also test
(2) whether the functional space (i.e., the organisation of plant height,
seed mass, leaf area, specific leaf area, nitrogen content per
leaf mass, and stem-specific density trait values in
multivariate space) derived from surface pollen samples
matches that of extant vegetation (in vegetation plot records).
This is necessary since whole phenotypes rather than individual
traits respond to the environment (Anderegg 2023). Once
validated, it will be possible to (3) combine sediment pollen with
traits (Birks 2020) to assess the functional structure of past vegetation,
from which biomes could be reconstructed (Harrison et al. 2010).","1) What is the more reliable aggregation scheme
(coarse or  fine) to assign trait values to pollen
types to reduce the biases between pollen
and vegetation-based functional spaces? 
2) Between plant species and pollen types,
do we observe  consistent trait distributions,
univariate relations between traits, and
multivariate phenotypic spaces?
3) Are the functional spaces derived from
pollen and extant  vegetation comparable
at the level of communities?",0,0,NA,NA,NA,Continental,Asia,"Uzbekistan,
Turkmenistan,
Tajikistan,
Kyrgyzstan,
Kazakhstan,
Afghanistan",TRUE,FALSE,NA,2393,TRUE,TRUE,NA,FALSE,FALSE,TRUE,"Eurasian Pollen Database,
European Modern Pollen Database v.2,
East Asian Pollen Database,
Tibetan pollen datasets",TRUE,FALSE,TRUE,TRUE,NA,FALSE,TRUE,FALSE,TRUE,"TRY, BROT, BIEN,
GIFT",TRUE,FALSE,TRUE,"Bayesian Hierarchical
 Probabilistic Matrix
Factorisation",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Trait distributions and bivariate trait relationships were broadly
similar for pollen types and vegetation taxa, which is also the
case for the multivariate spaces of the global spectrum of plant
form and function. At the community scale, the trait values
weighted by taxon abundance significantly differed among
biomes, and these differences were consistent for both pollen
aggregation schemes and extant.",Introduction and idea!
13,"Pollen-based biomes for Beringia 18,000, 6000  and 0 14C yr BP","Edwards, M. E.",2001,Journal of Biogeography,https://doi.org/10.1046/j.1365-2699.2000.00426.x,"Pollen data, plant functional types, biomes, 
vegetation changes, climate changes, Alaska, 
eastern Siberia, mid-Holocene, last glacial maximum.","To map and compare the distribution of biomes across the modern
 and past landscapes of Beringia (Siberia-Alaska land bridge region)
 at key late Quaternary time slices using quantitative assignment methods.","1) To modify and extend the objective biomization framework
 of Prentice et al. (1996) using modern high-latitude pollen samples.

2) To evaluate the sensitivity of the method regarding specific 
underrepresented boreal tree taxa like Siberian larch (Larix).

3) To determine whether the LGM vegetation across Beringia 
was uniform or formed a heterogeneous macro-mosaic of tundra variations.",0,18,FALSE,TRUE,FALSE,Regional,"North america, Asia","USA, Canada, Russia",TRUE,FALSE,503,112,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"North American Pollen Database,
PALE Pollen Database",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1996),
Tarasov et al. (1998)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Reconstructed modern samples matched existing tundra and taiga
 ranges well. At 6000 yr BP, biomes were mostly similar to modern 
conditions, indicating minor expansions of the forest limits. 
At 18,000 yr BP, the entirety of Beringia was characterized by 
tundra vegetation, exhibiting structural mosaic variations in specific
 PFT composition between sites.",NA
14,"Pollen-based biome reconstruction for southern  Europe
 and Africa 18,000 yr BP","Elenga, H.",2001,Journal of Biogeography,https://doi.org/10.1046/j.1365-2699.2000.00430.x,"Pollen data, plant functional types, biomes, 
vegetation changes, Europe, Africa, last glacial maximum.","To compile pollen data from 18000 yr BP and reconstruct the distribution
 of biomes across Southern Europe and the entire African continent 
during the Last Glacial Maximum.","1) To apply the objective biomization algorithm systematically to
 LGM pollen counts in these regions.  

2) To evaluate how LGM ecosystems differed structurally from
 modern ones (e.g., changes in tropical rainforests, montane forests, and steppes).  

3) To provide an empirical dataset to validate climate simulations 
produced by atmospheric general circulation models",18,18,FALSE,FALSE,TRUE,Continental,"Europe, 
Africa","France, Spain, Italy, Greece,Turkey, Syria, Iran, Chad, Ghana, Cameroon, Kenya, Egypt, Uganda, Rwanda, Zambia, Madagaskar, Namibia, Taung,",TRUE,FALSE,NA,42,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"European Pollen Database, 
African Pollen Database",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1996), Peyron et al. (1998), Jolly et al. (1998)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Major deviations from modern vegetation were documented: 
Mediterranean and Southern African forests/scrublands were
 extensively replaced by steppe. In tropical highlands, alpine 
grasslands and xerophytic scrub expanded downwards, while
 tropical lowlands saw rainforests contract and give way to tropical
seasonal forests and savannas.",NA
15,Modelling Late Miocene vegetation in Europe: Results of the CARAIB model and comparison with palaeovegetation data,"François, L.",2011,"Palaeogeography, Palaeoclimatology, Palaeoecology",10.1016/j.palaeo.2011.01.012,"Miocene, Europe, Vegetation, Model, Palaeovegetation data, Plant functional types, Biomes","To develop a methodology to validate climate and dynamic vegetation model runs for Neogene time slices using available palaeoflora data at the plant functional type (PFT) level, rather than at the biome level.","1) Adapt the dynamic vegetation model CARAIB (CARbon Assimilation In the Biosphere) specifically to represent Miocene European vegetation by adding thermophilous tree types.  
2) Force the model with ECHAM5-MPIOM (COSMOS) Tortonian climate simulations to map potential tree distributions and metrics (biomass, NPP).  
3) Quantify and compare the simulated vegetation against a standardized macro/micro-palaeoflora presence/absence dataset using a custom PFT coexistence matrix.",7250,11610,FALSE,FALSE,FALSE,Continental,"Europe, 
Africa, Asia",NA,TRUE,FALSE,NA,58,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,PALAEOFLORA database,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,PALAEOFLORA Database,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Laurent et al. (2004),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"The CARAIB model produced an overall presence/absence agreement of 53% when evaluated across all sites and tree classes.  Boreal/Cold elements: The agreement was very high (>85%) for needle-leaved summergreen cold trees (Larix sp.). However, the model generally overpredicted the southern range of cold boreal/temperate trees, extending them further south than indicated by the fossil record.  Warm/Subtropical elements: The model correctly predicted the absence of tropical elements. However, it performed poorly (<40%) at capturing temperate perhumid warm trees. The model restricted subtropical trees to localized southern refugia, whereas the proxy data demonstrates these warm elements flourished across Central Europe up to 50°N.  Climate Model Implications: The systematic underprediction of warm elements suggests that the COSMOS-derived Late Miocene climate inputs suffer from a cold bias. This could stem from underestimated atmospheric CO2 levels or an overestimation of altered ocean heat transport caused by an open Panama seaway.",NA
16,A pollen-based pseudobiomisation approach to anthropogenic land-cover change,"Fyfe, R.",2010,The Holocene,10.1177/0959683610369509,"biomisation, human impact, land cover, northwest 
Scotland, pollen, southwest England","This paper proposes a method of intermediate complexity by which 
major land-cover changes can be assessed for individual sites and regions. 
A pseudobiomisation approach is used, in which pollen taxa are assigned 
to different land-cover classes (LCC), and the sum of adjusted pollen 
proportions for each class used to determine an LCC affinity score 
for individual pollen samples within stratigraphic pollen sequences. 
In a pilot study, data from pollen core sites from northwest Scotland 
and southwest England for the last 8000 cal. BP have been classified 
into ten land-cover classes, including predominantly wooded, 
semi-open and open types.","1) To assign pollen taxa to distinct land-cover classes (LCCs)
 that capture both natural and culturally modified open and wooded ground. 
2) To develop a mathematical affinity threshold framework
 that can successfully differentiate ""semi-open"" landscape 
categories from closed or completely open ground.  
3) To illustrate the methodology by applying it to 20 Holocene
 pollen sequences across two geographically contrasting 
regions of the UK (northwest Scotland and southwest England)
 over the last 8,000 years. .",0,8,TRUE,TRUE,TRUE,Regional,Europe,England,TRUE,FALSE,NA,20,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,European Pollen Database,TRUE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1996), Peyron et al. (1998), Gachet et al. (2003), Behre (1981)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Results highlight how land-cover change was punctuated rather 
than gradual through the mid to late Holocene, and show how 
habitat diversity increased after ~6000 cal. BP with the arrival 
of agriculture, before reaching a minimum in early modern times.
This pollen-based method is potentially applicable to the reconstruction 
of long-term land-cover change within Europe and other 
temperatezone regions.",NA
17,"A probabilistic approach to the use of pollen indicators for 
plant attributes and biomes: an application to European 
vegetation at 0 and 6 ka","Gachet, S.",2003,"Global Ecology & 
Biogeography",10.1046/j.1466-822X.2003.00018.x,"biomes, conditional probability, Europe, land surface
 characteristics, palaeovegetation reconstruction, 
plant attributes, pollen data.","This paper presents a probabilistic method for the characterization of 
pollen taxa using attributes, and for the reconstitution of past biomes. 
The probabilities are calculated on the basis of European floristic and 
pollen databases sufficiently large and exhaustive to provide robust estimates.","1) To overcome the limitations of subjective, binary (0 or 1)
 assignment matrices connecting pollen to Plant Functional Types (PFTs).
2) To calculate conditional probabilities P(attribute|pollen) using large, 
matched modern floristic and pollen databases.
3) To apply this probabilistic model to European pollen datasets 
for the mid-Holocene (6 ka) and modern (0 ka) time slices 
to map shifts in vegetation attributes.",0,6,TRUE,TRUE,FALSE,Continental,Europe,NA,TRUE,FALSE,1327,338,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,European Pollen Database,TRUE,FALSE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,Flora Europea,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Gachet et al. (2003),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,"The probabilistic method successfully reconstructed the distribution 
of major European plant attributes and biomes for both 0 and 6 ka.
 The mid-Holocene (6 ka) map revealed a significantly higher 
probability of finding broad-leaved deciduous forest attributes 
across central and northern Europe compared to the modern 
era. Concurrently, Mediterranean evergreen attributes were 
restricted to narrower coastal bands during the mid-Holocene,
 illustrating a more humid, less human-degraded European 
landscape compared to modern baseline distributions.",NA
18,"Equilibrium in plant functional trait responses to warming is stronger under higher 
climate variability during the Holocene","Gaüzère, P.",2020,Global Ecology and Biogeography,10.1111/geb.13176,"climate legacy, climate mismatch, disequilibrium dynamics, 
functional trait, global change, Late  Quaternary, palynology, space-for-time substitution","They aimed to investigate whether current trait–climate disequilibrium is likely 
to emerge during plant functional responses to Holocene climate warming.
Test whether plant functional trait composition tracked climate warming 
during the Holocene or showed disequilibrium with climate.","1) Compare temporal trait–environment relationships 
with spatial trait–environment relationships 
2) Evaluate disequilibrium during periods of high vs low climate variability",0,14,TRUE,TRUE,TRUE,Continental,North America,"USA, Canada",TRUE,FALSE,NA,425,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Neotoma,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"TRY, TTT",FALSE,FALSE,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Locally Estimated 
Scatterplot Smoothing (LOESS)","Functional trait composition showed consistent deviation 
from climatic  equilibrium during both periods. 
The temporal dynamics of trait composition tends  to be 
positively correlated with climate equilibrium expectations 
during Holocene  climate warming (14–7 ka), 
but not during a subsequent period of low climate variability (7–0 ka).",NA
19,"Holocene fire regimes, fire-related plant functional types, and climate in south-coastal British Columbia forests","Giuliano, C.",2023,Ecosphere,10.1002/ecs2.4416,"charcoal accumulation, charcoal peak analysis, climate change, fire frequency, fire return interval, fire survival traits, lake sediments, macroscopic charcoal, pollen analysis, Pseudotsuga menziesii, Pteridium aquilinum, Quercus garryana","To reconstruct Holocene fire regimes over the last 10,000 years in south-coastal British Columbia and investigate how they interacted with climate and forest composition, specifically focusing on fire-related plant functional types.","1) To reconstruct long-term fire history using contiguous macroscopic charcoal analysis of lake sediments. 
2) To analyze changes in forest composition and plant abundance via fossil pollen analysis. 
3) To assess how fire-survival traits/strategies (e.g., fire endurers, fire resisters, fire avoiders) respond to or influence fire frequency and severity.",0,10,TRUE,FALSE,TRUE,Regional,"North 
America",Canada,TRUE,FALSE,NA,1,NA,NA,NA,NA,TRUE,FALSE,NA,TRUE,FALSE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"according to Rowe (1983), Agee (1993), Wirth (2005), and USDA (2021)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Charcoal accumulation rates,NA,NA
20,Biome classification from Japanese pollen data: application to  modern-day and Late Quaternary samples,"Gotanda, K.",2002,Quaternary Science Reviews,10.1016/S0277-3791(01)00046-4,NA,To develop an optimized pollen-based biomization method using exclusively arboreal taxa to quantitatively reconstruct modern and Late Quaternary vegetation patterns in Japan.,"1) To compile a modern dataset of 285 surface pollen spectra to build and test the accuracy of a national biomization matrix. 
2) To evaluate if using only arboreal pollen can successfully circumvent data limitations and increase biome assignment accuracy compared to previous regional frameworks. 
3) To apply this established scheme to the sediment core of Lake Mikata to reconstruct continuous vegetation changes spanning back to ca 40,000 yr BP.",0,40,NA,NA,NA,Regional,Asia,Japan,TRUE,FALSE,285,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Japanese Pollen Publication Database,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1996),
Prentice & Webb (1998)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Lake Mikata Vegetation Succession: Reconstructed three major evolutionary steps over the last 40,000 years:  
- Prior to 25,000 yr BP: Temperate deciduous forest (TEDE) continuously dominated the region. 
 - 22,000 to 18,000 yr BP: A total shift to cool-mixed forest (COMX) took place, representing the coldest stage of the Last Glaciation. This phase corresponds to modern-day southern Hokkaido climate and is flanked by brief transitional periods of rapid TEDE/COMX fluctuation.  
- Post 10,000 yr BP (Holocene): Warm-mixed forest (WAMX) was quickly established, mirroring modern-day environmental settings around the lake.",NA
21,"Disturbed vegetation reconstruction using the biomization
 method from  Japanese pollen data: Modern and Late Quaternary samples","Gotanda, K.",2007,Quaternary International,10.1016/j.quaint.2007.09.030,NA,"To modify the standard biomization method to account for and 
reconstruct heavily disturbed or secondary vegetation communities 
caused by human activities or natural climatic perturbations in Japan.","1) To assign Japanese arboreal and herbaceous pollen taxa
 to specialized Plant Functional Types (PFTs), including 
secondary and ruderal types.

2) To define a new ""Disturbed Vegetation Biome"" (DISV)
 based on diagnostic pioneer trees and weeds.

3) To validate this modified method using 231 modern surface
 samples, and then apply it to the Late Quaternary fossil
 record of Lake Mikata.",0,45,NA,NA,NA,Regional,Asia,Japan,TRUE,FALSE,219,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Japanese Pollen Publication Database,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al.(1996),
Tarasov et al.(1998),
Gotanda et al. (2002)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,"Modifying the biomization scheme to explicitly include a Disturbed
 Vegetation Biome (DISV) increased modern validation accuracy
 to 71% across Japan's human-altered landscape. In the Lake 
Mikata fossil core, two prominent phases of DISV were discovered.
 The first occurred during the late Holocene, fueled by human
 deforestation and intensive rice agriculture. The second occurred
 during the Last Glacial, where abrupt, severe natural climate
 fluctuations (resembling Dansgaard-Oeschger cycles) repeatedly
 damaged the forest canopy and enabled pioneer, disturbance-tolerant
 plant functional types to expand temporarily.",NA
22,Quantifying modern biomes based on surface pollen data in China,"Chen, Y.",2010,Global and Planetary Change,10.1016/j.gloplacha.2010.09.002,"China, biome, biomization, human disturbance, model-data comparison, modern surface pollen, plant functional types",To compile an updated and expanded extensive modern surface pollen dataset for China and use it to quantitatively reconstruct modern biomes using a newly established global classification of plant functional types (PFTs).,"1) To evaluate current pollen–vegetation relationships and test the accuracy of a national-scale biomization scheme. 
2) To improve the precision of pollen taxon assignments to PFTs using newly published floras and modern online regional resources. 
3) To evaluate the spatial distribution of simulated biomes against real climate/vegetation gradients and understand the masking impacts of long-term human historical land-use on modern pollen signatures.",0,0,FALSE,FALSE,FALSE,Regional,Asia,China,TRUE,FALSE,2324,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1992), Kaplan (2001), Kaplan et al. (2003), Yu et al. (1998, 2000)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,"Biome Delineation: Successfully reconstructed 19 distinct modern biome types across China using the updated 2,324-sample array.  Spatial Agreement: Reconstructed biomes provide an accurate reflection of the real-world geographic, latitudinal, and altitudinal distribution of modern vegetation in China.  
Error Correction: Resolved prior persistent mathematical assignment errors that historically occurred when distinguishing between cool/cold temperate coniferous forests and adjacent mixed forest configurations.
 Human Distortion Insights: Explicitly characterized how structural human landscape manipulation impacts regional surface pollen presentation, providing a crucial interpretive standard for late-Holocene archaeology/pollen core modeling.",NA
23,"Biome reconstruction from pollen and plant macrofossil data
 for Africa and the Arabian peninsula at 0 and 6000 years","Jolly, D.",1998,Journal of Biogeography,https://doi.org/10.1046/j.1365-2699.1998.00238.x,"Biome, plant functional type, pollen, plant macrofossil, Africa, Arabian peninsula, Madagascar, 6000 years BP","To reconstruct and map the geographical distribution of major biomes 
across Africa and the Arabian peninsula at the present-day (0 yr BP) 
and the mid-Holocene (6000 $^{14}\text{C}$ yr BP) using a standardized, 
objective biomization technique.","1) To adapt the global biomization framework to accommodate 
the high diversity of African tropical, subtropical, and desert
 vegetation;
2)  to test the validation of the method using modern
 surface pollen spectra and macrofossil assemblages against
 potential natural vegetation; 
3) and to evaluate the extent of greening
 in the Sahara/Sahel region during the mid-Holocene.",0,6,FALSE,TRUE,FALSE,Continental,Africa,NA,TRUE,FALSE,966,99,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1996), 
Prentice et al. (1992)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"The modern validation shows that the biomization technique successfully 
reproduces the actual distribution of African biomes. At 6000 yr BP, enhanced
 monsoonal rainfall caused a dramatic northward shift of vegetation zones. 
Steppe and savanna biomes expanded over vast areas of the Sahara and 
Arabian deserts up to approximately 23°–24°N, and tropical deciduous forests
 or xerophytic woods shifted northwards relative to their modern limits, reflecting the ""green Sahara"" period.
",NA
24,"Environmental change 
controls postglacial forest dynamics through interspecific differences in life-history traits","Lacourse, T.",2009,Ecological Society of America,doi/10.1890/08-1136,"British Columbia, Canada, community assembly,
 coniferous forests, fourth-corner analysis, life history, paleoecology, plant traits, pollen analysis, RLQ analysis, stress tolerance, trait–environment linkages","Here, fossil pollen data from Misty Lake
 on northeastern Vancouver Island, British Columbia (Lacourse 2005) 
that span the last 15 000 calendar years (cal yr) were used to investigate 
how the interaction between plant species traits and environmental 
conditions shaped the composition of postglacial forests.",NA,0,15,TRUE,TRUE,TRUE,Regional,North America,Canada,TRUE,FALSE,NA,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FASLE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"RLQ, fourth-corner method","Fourth-corner analyses revealed significant correlations 
between all paleoenvironmental variables (i.e., temperature, precipitation, summer insolation, vegetation density) and most plant traits (relative growth rate, minimum seed-bearing age, seed mass, height, life span, and shade, drought, and waterlogging tolerances). The strongest correlation was between paleotemperature and height, reflecting the positive effect of temperature on plant growth and development and the overarching competitive advantage that height confers. This research demonstrates that environmental conditions interact significantly with life-history and stress tolerance traits over long ecological timescales to determine forest composition. Climate is the ultimate control on postglacial forest composition and species abundances, but long-term community assembly is also constrained through interspecific differences in plant traits.",INTRODUCTION!!!
25,"Climate and Species Traits
 Drive Changes in Holocene Forest Composition Along an Elevation Gradient in Pacific Canada","Lacourse, T.",2022,Frontiers in Ecology and Evolution,10.3389/fevo.2022.838545,"pollen analysis, forest composition, plant 
species traits, climate change, multivariate timeseries,
 RLQ analysis, fourth corner analysis,
 trait-environment relationships","They examined past changes in forest 
composition in Pacific Canada using 
a paleoecological approach and investigate
 the role of past changes in climate and 
differences in species traits in changing
 forest compositions.","They investigate the effects of past changes
in climate on the abundances of dominant
woody plant taxa in Pacific Canada and 
consider the role that interspecific differences
 in life-history and stress tolerance traits
 play in mediating past changes in forest composition.",0,14,TRUE,TRUE,NA,Regional,North America,Canada,TRUE,FALSE,NA,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"RDA, PCA, RLQ","Species with similar life history traits tend to be most abundant at 
similar times and species that are functionally dissimilar are separated in time. 
For example, on central Vancouver Island, species with “fast” life history strategies 
(e.g., P. contorta, A. viridis) are most abundant in lateglacial plant communities, 
while those with “slow” life history strategies (e.g., T. heterophylla, T. mertensiana) 
are generally most abundant in mid-late Holocene forests. Within those time periods, 
sorting by elevation appears governed most strongly by differences in ecological 
performance and stress tolerance traits. This highlights that not only are species sorted 
through time as environmental changes occur but that species traits are also sorted on 
long timescales. Environmental change is the main driver of temporal turnover in forest 
composition, with this filtering acting on species traits to direct community assembly and 
dynamics.",Introduction!
